start,end,mid,n,Alpha(月),Alpha_t,Alpha_sig,年化Alpha%,MKT,SMB,HML,RMW,CMA,AdjR2
2007-07,2012-06,2010-01,60,-0.015061446114345227,-4.252595883218586,***,-18.073735337214273,1.0253765314523275,0.85797936737978,0.1847207507850392,-1.6603897596776611,-0.01912974459214767,0.9127327214896322
2008-07,2013-06,2011-01,60,-0.013684847523408289,-4.534123219130921,***,-16.421817028089947,1.1063609725660837,0.6663179463085268,-0.026391276321937385,-0.8424773084846573,-0.43626042365376894,0.9326813825057153
2009-07,2014-06,2012-01,60,-0.012487455559058684,-5.322579320449431,***,-14.984946670870421,1.1348764737847445,0.3702803396480836,-0.28352920337528187,-0.05023753941616664,1.1429110955896742,0.9291085726766783
2010-07,2015-06,2013-01,60,-0.013239500950095542,-4.817757529966079,***,-15.88740114011465,1.0612774290361582,0.3461391086804466,-0.15884561257468582,-0.11772502056576797,0.8231395875902148,0.8936896740801903
2011-07,2016-06,2014-01,60,-0.017774093837027924,-8.931423921806067,***,-21.32891260443351,1.0772373577188024,0.5036638897657397,-0.14679072641211188,0.22291185725551121,1.3556336755974314,0.9347858318836608
2012-07,2017-06,2015-01,60,-0.016899874044751878,-6.149840260809961,***,-20.279848853702255,1.0584806729836806,0.4806121255338224,-0.15066427168556307,0.217104753018465,1.264794791809797,0.9332978004047415
2013-07,2018-06,2016-01,60,-0.014151716264801346,-4.822419496085272,***,-16.982059517761616,0.9944431611541283,0.35581470472235727,-0.1563741327060284,-0.12444336288264735,0.9297722436056006,0.9210393860885374
2014-07,2019-06,2017-01,60,-0.013475057154134717,-5.725617747891613,***,-16.170068584961662,0.9726955794550272,0.28403889283169315,0.04450846937799269,-0.5909921671157232,0.48315912372216047,0.9410459739672987
2015-07,2020-06,2018-01,60,-0.011155685440090993,-5.356013988630832,***,-13.386822528109194,1.0156620135143017,0.36310071992555104,0.33959241969491605,-0.7929477305013425,0.4077736944214603,0.952037904659116
2016-07,2021-06,2019-01,60,-0.011198482974575333,-6.871492894185426,***,-13.4381795694904,1.0080207579451193,0.7475718289516402,1.0086885153928133,-0.8806770277595131,-0.16605980233066503,0.9227187846917132
2017-07,2022-06,2020-01,60,-0.012285328414307194,-8.67648981689018,***,-14.742394097168631,1.0200791968866514,0.6751473219530437,0.7532695300058073,-0.7053308635992057,-0.026454370043649533,0.9307055335147735
2018-07,2023-06,2021-01,60,-0.014677675734391608,-7.678261150029098,***,-17.613210881269932,1.0474777403456388,0.7541512208618646,0.7155243957949313,-0.5040371828454224,-0.20189677782107973,0.8954020292629365
2019-07,2024-06,2022-01,60,-0.016522931229022327,-7.3461109250652,***,-19.82751747482679,1.023265603532054,0.7837243471479265,0.4686481449103671,-0.06133095616780082,0.14457263538950482,0.8393042255475537
2020-07,2025-06,2023-01,60,-0.01730397153633878,-7.897198516347433,***,-20.764765843606536,1.0172109853573033,0.8642403866031627,0.5394549120665061,0.1869718319067052,-0.09643536100887928,0.8827868990389813
