场景,区间,N月,Alpha(月),Alpha(t),Adj_R2,Alpha(年化%)
A_4factor_INVpure,05-09,30,-0.02031170619108988,-2.8929719483149077,0.9101264469767625,-24.374047429307854
A_4factor_INVpure,10-14,60,-0.013913168218381136,-5.219360653483373,0.9196677993228728,-16.695801862057362
A_4factor_INVpure,15-19,60,-0.013246848231370529,-10.375618900184367,0.9499208543078256,-15.896217877644636
A_4factor_INVpure,20-25,72,-0.01754172403264776,-8.026990622879813,0.8608532656975434,-21.050068839177314
B_3factor_noINV,05-09,42,-0.022590704061466817,-6.3361103820717375,0.9041140683833472,-27.10884487376018
B_3factor_noINV,10-14,60,-0.01528381413659498,-6.817123824209902,0.9158418363136767,-18.340576963913975
B_3factor_noINV,15-19,60,-0.015521857281996457,-9.070444399395111,0.9381727361154991,-18.62622873839575
B_3factor_noINV,20-25,72,-0.020035780732884312,-9.222323521612223,0.8698442488233243,-24.042936879461173
