场景,区间,N月,Alpha(月),Alpha_t,年化Alpha%,AdjR2,SMB
正向_纯INV,05-09,30,-0.02031170619108988,-2.8929719483149077,-24.374047429307854,0.9101264469767625,0.9827331026187645
正向_纯INV,10-14,60,-0.013913168218381136,-5.219360653483373,-16.695801862057362,0.9196677993228728,0.45387265306554014
正向_纯INV,15-19,60,-0.013246848231370529,-10.375618900184367,-15.896217877644636,0.9499208543078256,0.25131606389272504
正向_纯INV,20-25,72,-0.01754172403264776,-8.026990622879813,-21.050068839177314,0.8608532656975434,0.8006291449526614
反向_纯INV,05-09,30,0.020387517511946382,2.6996472537114182,24.465021014335658,0.8866170975114815,0.5654090025736188
反向_纯INV,10-14,60,0.016333673863764338,5.361093893190737,19.600408636517205,0.942215376109948,0.25305332051839646
反向_纯INV,15-19,60,0.023211007951034424,4.603495213234451,27.85320954124131,0.9400378133599783,0.011466729400359976
反向_纯INV,20-25,72,0.019919136091638767,5.775918629441494,23.90296330996652,0.7966448588922516,0.4127791477744097
