场景,均值bp,中位数bp,P95bp,大盘bp,中盘bp,小盘bp
正向top20%,46.14778781977608,32.6775314087682,118.41381967692224,16.20635687304179,24.5722988684631,33.393140744996124
反向bottom20%,33.99028730441545,26.684901357051324,76.48900903120638,13.569724306997841,24.369922784194735,34.572797164324584
